거래번호,계좌번호,고객번호,도시,신용점수,가입일,계좌유형,잔액_USD,개설일,거래금액_USD,transaction_amount_numeric,거래일시,days_from_opening_to_transaction,days_from_signup_to_opening,date_logic_classification
TXN4WYNZXU308F4Q5,ACCH1M82CBLKTJQ,CUS02EH4R57YB8R,Jordanland,758,2023-04-21 05:00:56,Checking,92004.15,2024-03-21 17:53:00,"$2,726.89",2726.89,2019-01-16 03:39:28,-1891.5927314814815,335.5361574074074,Transaction before account opening
TXNTFFDIXX9KQUSL5,ACC17EZ4TDH7VWE,CUS06ATN1VYTMIM,North Thomasburgh,472,2021-08-03 09:12:32,Savings,170091.45,2020-11-21 09:31:00,"$9,977.55",9977.55,2019-01-16 05:58:57,-675.1472569444444,-254.98717592592592,Transaction before account opening
TXNTWCA1U0IOHAK7E,ACC67KEM3SR0EA2,CUS0184XTGD0MA1,Barnesville,466,2024-02-06 08:20:48,Savings,160743.67,2020-11-30 16:11:00,"$2,699.50",2699.5,2019-01-16 19:55:43,-683.8439467592592,-1162.6734722222222,Transaction before account opening
TXNT6EFVSA1HXO14C,ACCKXZSOCPIK10W,CUS023QWAFS5VB1,Ericberg,618,2025-10-15 07:39:21,Checking,93927.09,2023-10-04 13:55:00,NaN,NaN,2019-01-16 22:43:29,-1721.6329976851853,-741.7391319444445,Transaction before account opening
TXN6YSVMO11U9DMWJ,ACCMWJTJVBAJ2K4,CUS04ZJ3INSNI37,Thomastown,398,2022-03-28 08:15:13,Business,123496.8,2023-05-26 09:01:00,"$9,897.57",9897.57,2019-01-17 06:36:48,-1590.100138888889,424.0317939814815,Transaction before account opening
TXN776CWPFYN0480A,ACCOZFFTH7A6MMQ,CUS04F9UQH0AJ3X,Thomasfurt,450,2021-03-28 17:40:45,Checking,113867.32,2020-10-23 15:37:00,"$3,873.72",3873.72,2019-01-17 21:09:17,-644.7692476851852,-156.0859375,Transaction before account opening
TXNWX5INYJFSYT7OC,ACC70HEXMGUSHSB,CUS03GD9U4OFIAL,Kellychester,488,2023-12-12 02:25:36,Savings,54903.72,2020-11-13 07:24:00,"$2,942.63",2942.63,2019-01-18 09:49:18,-664.8990972222222,-1123.7927777777777,Transaction before account opening
TXN9W8LSYOLB3KKH8,ACC3S66OLI2ETGG,CUS067CSZVUTBT6,Hendersontown,302,2022-05-29 22:42:08,Checking,182987.4,2019-09-27 06:32:00,"$6,478.32",6478.32,2019-01-18 16:15:21,-251.59489583333334,-975.6737037037037,Transaction before account opening
TXNJ6G2FH3WGFCZ67,ACCXQ5UNKBN280A,CUS07RGTG3F09WI,Lake Alexandramouth,546,2024-09-05 18:57:35,Checking,8998.77,2021-04-23 02:30:00,"$8,829.29",8829.29,2019-01-19 10:33:42,-824.6640972222223,-1231.6858217592592,Transaction before account opening
TXNFDS97RIWFK2VCF,ACCHDGGLJ16JOVT,CUS01DDS123R4JZ,Port Sandraside,702,2025-02-27 18:49:52,Checking,172757.1,2024-04-17 14:14:00,"$8,582.06",8582.06,2019-01-21 11:37:26,-1913.1087268518518,-316.1915740740741,Transaction before account opening
TXNNWXJM538Y4YX1V,ACCTNC48X79AC9N,CUS04F9UQH0AJ3X,Thomasfurt,450,2021-03-28 17:40:45,Savings,143476.14,2022-07-01 08:45:00,"$7,047.30",7047.3,2019-01-21 12:51:36,-1256.82875,459.6279513888889,Transaction before account opening
TXN4J88V7U7BJGQJO,ACC4N2S1OAKNUE1,CUS06Y5MIHA8ZPL,Briannatown,369,2019-04-21 19:32:56,Checking,100564.91,2024-07-19 21:25:00,"$2,445.16",2445.16,2019-01-21 17:02:31,-2006.1822800925927,1916.077824074074,Transaction before account opening
TXNN7Q49ONVH74TSU,ACC5B0W5NI9CMYO,CUS05XIEV6TJIDX,New Jesus,833,2020-08-10 01:30:12,Business,6796.94,2024-09-04 17:33:00,"$9,909.19",9909.19,2019-01-21 21:45:56,-2052.824351851852,1486.6686111111112,Transaction before account opening
TXNDVXA49DZ4Z3QXF,ACCIPLHCXB2HUV9,CUS03U5B3EGIK5A,North Jonathanmouth,632,2020-07-08 21:47:06,Business,145107.16,2023-08-03 10:25:00,"$8,906.69",8906.69,2019-01-22 10:54:23,-1653.9795949074073,1120.5263194444444,Transaction before account opening
TXNELW6BNJLFGZW36,ACCN8V9ZJJ81SDU,CUS02EJN638KL32,Huffmanberg,387,2021-02-03 05:36:51,Savings,77632.81,2024-12-28 17:12:00,"$2,861.03",2861.03,2019-01-22 18:47:51,-2166.9334375,1424.4827430555556,Transaction before account opening
TXNZNGQWT0M09PQMZ,ACCQNP4RK160MC2,CUS05WZWG6XOHM5,Tiffanyport,627,2019-03-27 17:59:25,Checking,106895.73,2024-02-04 20:34:00,"$2,006.66",2006.66,2019-01-23 04:40:37,-1838.6620717592593,1775.107349537037,Transaction before account opening
TXN3M9WLO0RV0KRKA,ACCDZDGA8PXU8FX,CUS05T9OU30RGDJ,South Kimbury,800,2020-11-09 05:58:28,Savings,88148.61,2022-01-22 12:03:00,"$8,353.47",8353.47,2019-01-23 23:45:36,-1094.5120833333333,439.25314814814817,Transaction before account opening
TXN9QSDC24VCSAIM4,ACCPZKGFNGR8NF8,CUS04YP5AB98Z8B,West Jason,718,2023-05-27 04:26:14,Business,6484.06,2025-11-23 22:57:00,"$9,906.26",9906.26,2019-01-24 15:34:46,-2495.3071064814817,911.7713657407407,Transaction before account opening
TXN03W682RNB3TVOP,ACCPSSAXYH0TTGP,CUS03HCSGE2EIOH,Adrianatown,822,2022-01-09 05:03:34,Savings,55869.66,2022-08-12 21:26:00,"$3,070.87",3070.87,2019-01-25 10:55:18,-1295.437986111111,215.68224537037037,Transaction before account opening
TXN1U0MIZ281PXFX9,ACCVZX3WBU8J665,CUS05ZMKE6Q7UDC,Stewartshire,385,2019-09-22 12:03:34,Business,185873.46,2023-05-13 21:47:00,"$4,885.46",4885.46,2019-01-27 00:02:13,-1567.906099537037,1329.4051620370371,Transaction before account opening
TXNMUSWGTH4UBTA49,ACCD5406I3XCD44,CUS01CJGZJ67EKX,Benjaminton,837,2021-09-01 20:09:29,Business,168045.68,2022-03-30 05:10:00,"$6,852.62",6852.62,2019-01-27 00:24:04,-1158.1985648148147,209.3753587962963,Transaction before account opening
TXNIT31R96DJX5KLC,ACCLRFPJECLN1UY,CUS00TYFTH6OUXN,Leeberg,662,2021-06-21 06:33:24,Checking,77796.59,2022-10-09 11:56:00,"$6,882.89",6882.89,2019-01-27 03:08:51,-1351.3660763888888,475.2240277777778,Transaction before account opening
TXNQDWROOWCMVDKDD,ACCIRAHHX2T86UX,CUS04BNEYQB020F,Port Luisborough,763,2020-06-14 15:17:13,Savings,11568.58,2020-03-09 03:56:00,"$9,672.68",9672.68,2019-01-27 04:34:07,-406.97353009259257,-97.47306712962963,Transaction before account opening
TXNNQV7GUMW41DH81,ACCJKBCMPWIAQXC,CUS06WTOSVI4DPU,Port Danny,395,2020-01-05 09:48:49,Checking,110841.84,2022-09-24 07:39:00,$777.58,777.58,2019-01-27 14:01:46,-1335.7341898148147,992.9098495370371,Transaction before account opening
TXNDRNSYNJIAYH8I2,ACCC1L9KQVRHUNP,CUS03CXPLFDJG3S,North Tammy,406,2025-11-21 11:07:23,Savings,11704.75,2024-09-03 18:12:00,"$9,651.78",9651.78,2019-01-28 17:55:37,-2045.0113773148148,-443.70512731481483,Transaction before account opening
TXNBR4WCBK4EIS3QF,ACCNIAC7M1M5MQZ,CUS012X523QRP9B,Christinechester,522,2021-06-30 06:14:52,Checking,130861.78,2024-05-08 00:50:00,$957.58,957.58,2019-01-28 23:31:37,-1926.0544328703704,1042.774398148148,Transaction before account opening
TXNQO6ZHLRO7UWWD5,ACC1L3RLG8YLFYJ,CUS07FUOXZVGDLD,Rebeccatown,587,2023-09-23 21:57:29,Savings,169848.26,2022-02-25 12:22:00,"$9,820.26",9820.26,2019-01-30 00:23:11,-1122.4991782407408,-575.3996412037037,Transaction before account opening
TXNQDAT8VUYB58HAQ,ACCNJ652GRKULWU,CUS03GD9U4OFIAL,Kellychester,488,2023-12-12 02:25:36,Savings,108971.67,2020-05-17 16:48:00,"$2,001.33",2001.33,2019-01-30 18:49:32,-472.9156018518519,-1303.401111111111,Transaction before account opening
TXNMMCI21E5QF5UOV,ACC5B60KZS6MNPZ,CUS00OZ4U8N2LR4,Kevinberg,619,2025-04-30 15:38:26,Savings,108853.02,2020-06-17 07:09:00,"$5,989.23",5989.23,2019-01-30 23:07:18,-503.33451388888886,-1778.353773148148,Transaction before account opening
TXN4IKW6X53SA9L3T,ACC1XU3ILSHCEBJ,CUS06GJM01CB6QM,Lesterfort,705,2022-07-16 13:23:48,Business,198714.13,2022-05-01 03:20:00,"$8,982.25",8982.25,2019-01-31 01:07:26,-1186.0920601851851,-76.41930555555555,Transaction before account opening
TXNFQCRL2WYOOLDP2,ACCMQIGA3K0ICZ3,CUS05GLXSKT03Y0,Norrisport,615,2021-12-01 18:49:12,Checking,144176.11,2023-03-24 00:08:00,"$5,052.64",5052.64,2019-01-31 05:29:37,-1512.7766550925926,477.2213888888889,Transaction before account opening
TXNSC7KI3R5J09M36,ACCLRFCWLTETJ1V,CUS071PGACQK4TH,New Jimmyland,373,2024-08-02 09:41:36,Savings,84762.97,2020-06-11 09:45:00,"$8,880.51",8880.51,2019-01-31 12:21:22,-496.891412037037,-1512.9976388888888,Transaction before account opening
TXNMLEHI55NCC8YBB,ACCL7HDUVPECTCD,CUS05ZMKE6Q7UDC,Stewartshire,385,2019-09-22 12:03:34,Business,128319.27,2025-01-09 01:25:00,"$1,079.59",1079.59,2019-02-01 03:48:45,-2168.9001736111113,1935.5565509259259,Transaction before account opening
TXNMRBNJK40C9RJ50,ACCMHXVX0YY4EMF,CUS02YL8WCK7KCN,Courtneyland,502,2021-11-25 15:37:13,Business,127635.54,2024-05-03 08:25:00,"$6,632.34",6632.34,2019-02-03 12:55:00,-1915.8125,889.699849537037,Transaction before account opening
TXN0AWFW5EU21AOUP,ACCE9II6WKMMFFP,CUS01XZDUMMT2DI,Jonathanstad,359,2021-11-02 05:45:00,Savings,191154.15,2021-02-26 02:26:00,"$1,630.94",1630.94,2019-02-03 20:54:47,-753.2300115740741,-249.13819444444445,Transaction before account opening
TXNIFTE2KAH5P2D13,ACCI9B2SAPOOFJF,CUS06KR3N0HYTBA,Michaelland,431,2021-09-02 06:44:28,Business,79818.9,2024-11-07 13:48:00,"$1,229.63",1229.63,2019-02-04 13:45:57,-2103.001423611111,1162.2941203703704,Transaction before account opening
TXN4W24VKXJBMSCU5,ACCNJ652GRKULWU,CUS03GD9U4OFIAL,Kellychester,488,2023-12-12 02:25:36,Savings,108971.67,2020-05-17 16:48:00,"$5,020.33",5020.33,2019-02-04 23:50:42,-467.70645833333333,-1303.401111111111,Transaction before account opening
TXNWJ3787ACUSJAR7,ACCDDDR8TRPFK1I,CUS069XU8SO2HSM,New Paulmouth,723,2020-08-12 21:24:31,Savings,188690.3,2019-08-30 20:58:00,"$3,989.53",3989.53,2019-02-05 21:30:52,-205.97717592592593,-348.01841435185185,Transaction before account opening
TXNAGMQ1GWMBXJY97,ACCSB4OLLEU1YZH,CUS06DIMQZ300WZ,Danielmouth,655,2024-01-29 23:46:49,Savings,70406.06,2020-10-18 12:03:00,"$5,998.81",5998.81,2019-02-06 21:29:27,-619.6066319444444,-1198.488761574074,Transaction before account opening
TXN1O2E2U7FW9D790,ACCEDPZCDGCC7CE,CUS07HI8D8M3AER,Tracyborough,752,2019-01-06 02:05:06,Business,176295.02,2022-08-10 12:33:00,"$1,417.93",1417.93,2019-02-07 03:00:02,-1280.3978935185185,1312.4360416666666,Transaction before account opening
TXNLA1LM1IMS19C2B,ACCCZW3NWYCDBY4,CUS04FCUOSC6HRQ,South Davidland,666,2021-02-28 17:48:59,Business,23662.12,2023-11-01 05:01:00,NaN,NaN,2019-02-07 18:31:35,-1727.4370949074073,975.4666782407407,Transaction before account opening
TXNV53R4FIIKMVDJZ,ACCB4W5Q0OP7XEL,CUS00SCTYHTADEN,Jesseport,449,2025-11-22 00:53:00,Checking,89074.87,2024-11-22 22:29:00,"$5,052.68",5052.68,2019-02-08 13:43:03,-2114.3652430555558,-364.1,Transaction before account opening
TXNQG6KW5MB2H2V5H,ACC32DYP3O185WD,CUS04W773FQXEYG,Castroburgh,454,2022-11-16 14:06:54,Checking,193831.39,2023-10-23 14:53:00,"$9,858.25",9858.25,2019-02-08 22:20:52,-1717.6889814814815,341.0320138888889,Transaction before account opening
TXNSYV57EJSKM4EKF,ACC6AQD8CLVXEOT,CUS03BSBVY61YX4,Henryborough,464,2025-10-08 22:09:02,Savings,10023.28,2022-03-09 20:31:00,"$6,724.26",6724.26,2019-02-09 01:46:59,-1124.7805671296296,-1309.0680787037038,Transaction before account opening
TXNKDNIADWL0AOW6N,ACC5C9TDGJIDLCD,CUS03EC0SVLIIQ7,Port Laura,676,2024-11-10 06:20:36,Savings,177165.28,2019-07-23 01:32:00,"$5,505.16",5505.16,2019-02-09 14:40:49,-163.45221064814814,-1937.2004166666666,Transaction before account opening
TXNZJLI5J1VTQ7G9N,ACCBDHBH3UNN47T,CUS03G4H23TA015,Reedbury,779,2025-04-21 21:30:27,Checking,170944.69,2020-10-22 20:23:00,"$1,026.46",1026.46,2019-02-10 04:58:48,-620.6418055555556,-1642.0468402777778,Transaction before account opening
TXN1IC9HY0181SIP8,ACCBOOKLPE0PM2S,CUS06ZCYXQ6BWIZ,Andresmouth,733,2019-05-14 06:19:36,Business,125360.85,2023-07-04 14:55:00,"$9,144.26",9144.26,2019-02-10 05:17:04,-1605.4013425925925,1512.3579166666666,Transaction before account opening
TXNL6ZYH9I8WC2NHX,ACCLRSC7X93BK1T,CUS070D1W8PWI5H,West Matthew,787,2019-09-08 06:57:27,Savings,110451.39,2021-01-30 08:24:00,"$9,129.16",9129.16,2019-02-10 19:44:28,-719.5274537037037,510.0601041666667,Transaction before account opening
TXNAT9ZUP2R1QJTIK,ACCBOOKLPE0PM2S,CUS06ZCYXQ6BWIZ,Andresmouth,733,2019-05-14 06:19:36,Business,125360.85,2023-07-04 14:55:00,"$1,567.93",1567.93,2019-02-11 00:02:43,-1604.6196412037036,1512.3579166666666,Transaction before account opening
TXNORKARXPR4YFS4M,ACCLO2UFJM2OBZG,CUS02UQ2RZSH856,Ashleyberg,572,2020-06-12 13:56:00,Savings,173195.55,2021-02-22 19:18:00,"$5,537.57",5537.57,2019-02-11 05:04:35,-742.592650462963,255.2236111111111,Transaction before account opening
TXNHNTOMFPRMW9KO7,ACCIYFDZMPSZBER,CUS05Q1ZOWS17PQ,Singhstad,400,2025-10-12 00:32:10,Business,104388.74,2025-11-17 18:00:00,"$9,527.78",9527.78,2019-02-11 05:31:12,-2471.52,36.727662037037035,Transaction before account opening
TXN0YF1OV0M8QJYNB,ACCCDQPQ8G0MPT0,CUS04F9UQH0AJ3X,Thomasfurt,450,2021-03-28 17:40:45,Business,77617.25,2023-10-31 01:17:00,"$6,891.24",6891.24,2019-02-11 11:33:42,-1722.571736111111,946.3168402777778,Transaction before account opening
TXNOT7XX3DS1EJGJ6,ACC8RQTRYMQURKL,CUS013H6Y8UAEJU,Port Casey,680,2024-02-16 03:23:39,Business,62709.97,2023-11-28 07:45:00,$326.68,326.68,2019-02-11 12:17:16,-1750.8109259259259,-79.81850694444445,Transaction before account opening
TXN3SNO7KXT5T11ZR,ACCV9U1KP09SW2N,CUS01YLOQBPOZ3F,Ianhaven,785,2019-03-14 08:57:19,Savings,45737.02,2024-07-25 03:26:00,"$9,880.06",9880.06,2019-02-11 21:47:02,-1990.2353935185185,1959.7699189814814,Transaction before account opening
TXNFULTUE3P8XUKZ3,ACCDZDGA8PXU8FX,CUS05T9OU30RGDJ,South Kimbury,800,2020-11-09 05:58:28,Savings,88148.61,2022-01-22 12:03:00,"$3,473.11",3473.11,2019-02-12 03:17:27,-1075.3649652777779,439.25314814814817,Transaction before account opening
TXNKM0KPFML7818PD,ACCXTR4XQTR6MP6,CUS05HXBT60AF2I,North Lydia,846,2021-10-27 22:04:26,Business,116086.53,2024-02-11 15:25:00,"$4,408.08",4408.08,2019-02-12 15:16:54,-1825.005625,836.7226157407407,Transaction before account opening
TXN6ARQGQ1GAMNJEE,ACCGRO79NNA1X36,CUS045YMLP9JRMF,West Danielshire,302,2025-09-27 11:31:48,Checking,54649.67,2020-10-08 20:18:00,$113.61,113.61,2019-02-13 16:11:10,-603.171412037037,-1814.6345833333332,Transaction before account opening
TXN5V36NX4GDIX0W3,ACCABIJVUXPJYDV,CUS06OWK6PSGQ99,New Elizabethfurt,355,2024-05-03 01:22:07,Business,112754.6,2021-02-25 09:40:00,"$7,143.05",7143.05,2019-02-13 16:19:47,-742.7223726851852,-1162.6542476851853,Transaction before account opening
TXNURP0XBTY13FF3I,ACCLRSC7X93BK1T,CUS070D1W8PWI5H,West Matthew,787,2019-09-08 06:57:27,Savings,110451.39,2021-01-30 08:24:00,$70.40,70.4,2019-02-15 05:40:41,-715.1134143518518,510.0601041666667,Transaction before account opening
TXN832534XN9ZZIJC,ACCYHVSOAD9IXCB,CUS070D1W8PWI5H,West Matthew,787,2019-09-08 06:57:27,Savings,135979.84,2020-12-26 11:06:00,"$9,281.68",9281.68,2019-02-15 05:51:29,-680.2184143518518,475.17260416666664,Transaction before account opening
TXNJX774FAZ2NYH5L,ACC1RH39G37OQN0,CUS00XXNR0NYUUP,Stokeston,689,2023-06-09 21:14:26,Checking,21147.22,2022-11-08 22:07:00,"$1,373.23",1373.23,2019-02-16 04:49:01,-1361.7208217592593,-212.96349537037037,Transaction before account opening
TXNSU9EZDHQ4TGE8X,ACCVTNA80O13SQC,CUS01E9T0QCSDQU,Lake Justinstad,651,2022-03-27 03:55:13,Savings,90821.86,2022-06-14 06:43:00,$899.78,899.78,2019-02-16 17:48:13,-1213.5380439814815,79.11651620370371,Transaction before account opening
TXNLE9H18NU3PYLSE,ACC8X1VBKV720XI,CUS03CXPLFDJG3S,North Tammy,406,2025-11-21 11:07:23,Business,33645.97,2024-11-26 13:04:00,"$2,101.65",2101.65,2019-02-17 09:37:18,-2109.143541666667,-359.9190162037037,Transaction before account opening
